sample_year,min,max,mean,median
1982,3.382429361343384,18.104415893554688,9.79485813776652,9.127681255340576
1983,4.5965752601623535,17.45014190673828,10.65332261721293,9.948969841003418
1984,3.976996660232544,19.553529739379883,10.825780808925629,9.735349178314209
1985,3.436065912246704,19.50505828857422,10.693487266699472,10.243995666503906
1986,4.17759895324707,19.07758331298828,10.93510333697001,10.450365543365479
1987,3.389348268508911,19.10692596435547,10.457437177499136,9.769202709197998
1988,3.2402265071868896,19.699901580810547,10.269078433513641,9.295367240905762
1989,3.4522757530212402,19.345325469970703,10.5746089220047,9.3929901123046875
1990,4.078641891479492,20.49911880493164,10.658784627914429,9.884554862976074
1991,4.512208461761475,18.973981857299805,11.185471892356873,10.070488929748535
1992,3.673691749572754,17.89727020263672,10.225551088651022,9.133443355560303
1993,3.235171318054199,18.653583526611328,10.00486926237742,9.369395732879639
1994,2.359520196914673,19.17171859741211,10.254850924015045,9.236224174499512
1995,4.050568580627441,19.075389862060547,10.638704180717468,9.555694580078125
1996,3.462035655975342,17.818552017211914,10.328184008598328,9.717775344848633
1997,3.8397104740142822,17.895708084106445,10.113678713639578,9.445825576782227
1998,3.8405702114105225,18.99420928955078,10.708618899186453,10.112358093261719
1999,3.494300127029419,19.12804412841797,10.59820431470871,9.842652797698975
2000,4.492188453674316,18.820022583007812,11.00002940495809,10.17092514038086
2001,3.5426745414733887,19.028289794921875,10.626134912172953,9.945045948028564
2002,4.528782844543457,19.55324935913086,11.184817592302958,10.027066230773926
2003,2.5297322273254395,18.456348419189453,10.194889227549234,9.48123025894165
2004,2.3641738891601562,17.98077964782715,9.88756521542867,9.3823089599609375
2005,2.5091936588287354,18.91720962524414,10.044371624787649,8.864198923110962
2006,4.221866607666016,18.93876838684082,10.940874497095743,10.029801368713379
2007,3.5579047203063965,18.81296157836914,10.781572659810385,9.965396404266357
2008,3.9200210571289062,19.478792190551758,10.711684226989746,9.600284099578857
2009,3.4528112411499023,20.033220291137695,10.698330322901407,9.974287986755371
2010,3.9620070457458496,19.919113159179688,11.40016484260559,10.530608177185059
2011,3.9535138607025146,18.680526733398438,10.906030158201853,10.182168006896973
2012,6.036520004272461,21.52950668334961,12.495989878972372,11.005329132080078
2013,4.6442084312438965,19.28777313232422,11.639822721481323,10.972946166992188
2014,3.23112154006958,19.46450424194336,11.01015841960907,10.44474744796753
2015,3.3394269943237305,19.89027214050293,11.248202820618948,10.561675548553467
2016,5.270096778869629,20.624507904052734,11.894694129625956,10.476243019104004
2017,4.414670944213867,19.751972198486328,11.415027181307474,9.981212615966797
2018,4.342934608459473,20.84439468383789,11.545885046323141,10.797752380371094
2019,3.636690378189087,20.698564529418945,11.132794459660849,10.145061016082764
2020,4.613619804382324,20.014095306396484,11.328638434410095,9.818153858184814
2021,4.365325927734375,20.749887466430664,11.818028370539347,11.062742710113525
2022,4.694128036499023,20.899639129638672,12.054898023605347,11.109578609466553
2023,5.122091293334961,20.082244873046875,12.268203695615133,11.901298522949219
